candidate_id,name.x,party,state,district,cycles,name.y,committee_id
H0AL03192,"THOMPSON, HANNAH",DEM,AL,3,"{2018,2020}",H THOMPSON 4 CONGRESS,C00681452
H0AL06104,"ALLEN, ANDERS POPE",REP,AL,6,"{2018,2020}",ANDERS POPE ALLEN COMMITTEE,C00681213
H0CA04167,"FRAME, SEAN COLIN",DEM,CA,4,"{2018,2020}",SEAN FRAME FOR CONGRESS,C00691790
H0CA32333,"GONZALES, EMANUEL LAWRENCE MR",DEM,CA,32,"{2018,2020}",EMANUEL GONZALES COMMITTEE TO ELECT FOR CONGRESS,C00685743
H0CA50095,"RAHN, MATT DR.",REP,CA,50,"{2018,2020}",MATT RAHN FOR CONGRESS,C00691675
H0FL04124,"DEPAUL, MONICA PAIGE",DEM,FL,4,"{2018,2020}",MONICA 4 FLORIDA,C00635136
H0FL18173,"VAUGHN, KAREN",RE,FL,18,"{2018,2020}",KAREN VAUGHN FOR CONGRESS,C00675116
H0FL22050,"REYES, OMAR",IND,FL,22,"{2018,2020}",OMAR2020,C00689554
H0FL23041,"OLIVO, CHRISTINE ALEXANDRIA 1983",DEM,FL,23,"{2018,2020}",CHRISTINE FOR CONGRESS,C00691832
H0FL23058,"NIZAHON, SHLOMO",REP,FL,23,"{2018,2020}",NIZAHON FOR CONGRESS,C00692533
H0GA06143,"BHUIYAN, MOHAMMAD ALI",REP,GA,6,{2018},MOHAMMAD ALI BHUIYAN FOR CONGRESS,C00633529
H0GA06150,"HARRISON, JAYLA",CMD,GA,6,"{2018,2020}",JAYLA HARRISON,C00689646
H0MD06231,"PARROTT, NEIL CONRAD MR.",REP,MD,6,"{2018,2020}",PARROTT FOR CONGRESS,C00691931
H0MI03233,"RAFI, EMILY E.",DEM,MI,3,"{2018,2020}",THE COMMITTEE TO ELECT EMILY RAFI,C00692830
H0MI11095,"KELLER, SCOTT THOMAS 12/01/2015",REP,MI,11,"{2018,2020}",COMMITTEE TO ELECT SCOTT KELLER,C00691535
H0NY03059,"WEINSTOCK, MICHAEL S",DEM,NY,3,"{2018,2020}",FRIENDS OF MICHAEL WEINSTOCK,C00691709
H0NY15152,"ORTIZ, JONATHAN",DEM,NY,15,"{2018,2020}",ORTIZ FOR CONGRESS,C00692012
H0PA07132,"HENDRICKS, DARRYL P",DEM,PA,7,"{2018,2020}",HENDRICKS 2020,C00695106
H0PA09039,"HORNBERGER, BENJAMIN DAYTON",REP,PA,9,"{2018,2020}",FRIENDS OF BEN HORNBERGER,C00657064
H0SC07011,"HUGGINS, DEWON",REP,SC,7,"{2018,2020}",DEWON HUGGINS FOR US CONGRESS SC-07,C00692053
